Comment,Designator,Footprint,LCSC
Conn_01x10_Socket,J3,PinSocket_1x10_P2.00mm_Vertical,
Conn_01x10_Socket,J2,PinSocket_1x10_P2.00mm_Vertical,
USB_A,J1,USB_A_TE_292303-7_Horizontal,
10nF,C10,CP_EIA-1608-08_AVX-J,
180,R7,R_0603_1608Metric,
49.9,R8,R_0603_1608Metric,
49.9,R9,R_0603_1608Metric,
180,R6,R_0603_1608Metric,
10uH,L1,L_0603_1608Metric,
25MHz,Y1,Crystal_SMD_MicroCrystal_CC4V-T1A-2Pin_5.0x1.9mm,
100nF,C8,CP_EIA-1608-08_AVX-J,
49.9,R4,R_0603_1608Metric,
100nF,C7,CP_EIA-1608-08_AVX-J,
100nF,C4,CP_EIA-1608-08_AVX-J,
0.01u,C9,CP_EIA-1608-08_AVX-J,
10k,R2,R_0603_1608Metric,
49.9,R5,R_0603_1608Metric,
100k,R1,R_0603_1608Metric,
18pF,C2,CP_EIA-1608-08_AVX-J,
18pF,C3,CP_EIA-1608-08_AVX-J,
2k,R3,R_0603_1608Metric,
100nF,C5,CP_EIA-1608-08_AVX-J,
10uF,C1,CP_EIA-1608-08_AVX-J,
100nF,C6,CP_EIA-1608-08_AVX-J,
ENC28J60x-SS,U4,SSOP-28_5.3x10.2mm_P0.65mm,
